,condition,distance_factor_to_original,distance_factor_to_user
7soGVDW7OADidxz3Gw7E,ClickHereBottomLeft,0.1891054299131351,0.14508690740694183
9wTYSrTZSZJHpmrsBcQK,ClickHereBottomLeft,0.08844773763027046,0.13350790174013855
KqQXUgOaXG7oPEkW1kjp,ClickHereBottomLeft,0.12837329812161977,0.13726792708746707
Kwxk2tMj5yUUBzfqDGOl,ClickHereBottomLeft,0.09512009789979146,0.09186736695490241
OXR5RdH2XdU7ZAy8xcUE,ClickHereBottomLeft,0.1460306050405426,0.17255451044815692
U4nMSG6vEWbKhaBd8QAV,ClickHereBottomLeft,0.08592149559726843,0.118124966489285
eHGej0ULHUdXZKJvXKUl,ClickHereBottomLeft,0.1674125314755939,0.1432596098553347
eOHglaucHmHaOv4puL49,ClickHereBottomLeft,0.13011030052244646,0.1486635608694443
on5FHORXazffb9GVDLJG,ClickHereBottomLeft,0.17363214709014507,0.14580570873674084
tsD5oq3l4WjZTjwSOAyB,ClickHereBottomLeft,0.10706216708253057,0.0879113279273103
HvFy1tGWAL2zsAr9bg8O,ClickHereTopRight,0.10322544651765896,0.12492539410607925
TcpATkRUWbc8UQfO5Owd,ClickHereTopRight,0.17090182723291175,0.14876810972536905
YbKjeVtsuxYz6KtAZ1Im,ClickHereTopRight,0.1414317921199077,0.05972721424269746
dIr3e1FNv26JRRgcJbIz,ClickHereTopRight,0.11056994627843435,0.061291936468928374
gRBU37tLKrU5LCxchP82,ClickHereTopRight,0.11183096976826133,0.10764151686207325
9Ae9YpkeklAtexyCIZ3h,ClickHereTopRight,0.11576455498582733,0.11303268613216433
B69O3ZZ2kRWpRNfrQZdB,ClickHereTopRight,0.14516095217631733,0.1275558708816206
BJ1I6W5Lft1NQe2IdA4a,ClickHereTopRight,0.1634252300212797,0.13148311162265408
K3rvKFioqRp6EB9TJBV7,ClickHereTopRight,0.10532186924679303,0.14452300017209443
NA0jaVJsT6lgrs6uw0Sq,ClickHereTopRight,0.0873032370469399,0.029896098211955525
R7CTOlxVJdSH5Wfqp6D6,ClickHereTopRight,0.13472430162691557,0.1480774712395779
hSHdLmyYVZLV4KdU3CiC,ClickHereTopRight,0.14695026630558142,0.12728054236834227
tR5AnztoJ0EKbmFRWfCh,ClickHereTopRight,0.06884935169930341,0.09968059697280256
v5sQZyPCZMHKzVLeQIeI,ClickHereTopRight,0.051978587753924464,0.059495916492023466
y1jaKupK7rTYCWAMAISg,ClickHereTopRight,0.17584783653962988,0.1453722248827509
08Ub2TQF2qn5r9UkTTuh,Face,0.028351953596216853,0.013724658403175516
0E4p6kxzRqXhA6F2nK5u,Face,0.09528621596056802,0.0909779853386606
1HOFLevPXxvV6y8c9ifW,Face,0.07460013827957326,0.07591561970719866
1T959Zrg58PbEeI3TO79,Face,0.15342995536081125,0.12054836080118687
1nXbHJKQ8OtCiaI3D2kX,Face,0.051306332179286575,0.021005634634762595
23dSR1zLjr3QQWhvbK8Y,Face,0.15342995536081125,0.14487427960575758
23vd4pdErq9EGE2bIx80,Face,0.14427011884503962,0.0878540949062111
36giKWyDXPZfvxL4y3Wa,Face,0.09330977710563555,0.07970016455551199
3AeDMaJf428bA60gc0Su,Face,0.07721958452441778,0.10468519569224119
4J2DlIAkcAXjzKGWuUgB,Face,0.0792295692950282,0.06668806343388085
6vgQnXTsaoPl3IBhGGBR,Face,0.13694358434112033,0.13444068517913907
6xrspMPfB6yVUKgpeHUu,Face,0.03779585366192546,0.05133712248991524
7KiU5pkraA6cof4fsiAe,Face,0.10583424766533431,0.11149634341648192
7MiRT0aT9yENsjKKyuOM,Face,0.11114455113203445,0.1068707754058441
7jBajKRHBimUb8sHTHR2,Face,0.09415241296286404,0.10002362669849865
91XAr3ZnVYFi0yRijaei,Face,0.1995732261308628,0.14290418274331804
9Se2bRhmmeambISQVO1Q,Face,0.13051510307746195,0.1471737111364271
9hhmdLeEQs628XKfmMHc,Face,0.148412999829223,0.13294310085647906
9scJBLJKtOBaQ4UrVzWF,Face,0.10677157075312706,0.098731754796095
Axy9M13kvuofvAdCus27,Face,0.14127722866877157,0.15257565898207784
Bq7bjnORHvU5v8T8QmMp,Face,0.18765758851929226,0.14676517487984586
C5MCYgHyst3daA4LTN01,Face,0.1386893397792397,0.16081616642634086
CRBaZAgE2oe1jXGHZsPQ,Face,0.07587076293042865,0.07888571144304792
Cmc86YNLUfx6cu358aZf,Face,0.12516832255455634,0.13395866026582404
DsH1f106jThs7GrTr4Gf,Face,0.0701214845338248,0.05764916084609026
Dv5og3mSvqpj0po3V85C,Face,0.12447851003394557,0.15029226981625768
EQiv9unQ3zlGZl27dlXt,Face,0.09404006894976251,0.10404143921426927
EZMouGTQfx7NkBrd9dzF,Face,0.17024665525104027,0.13194005454890062
EfuaMj6581V1jP7wpWFX,Face,0.06796804283108152,0.07632994748043584
Ermr5iwJOPW7oHMmEDlW,Face,0.13834412380630662,0.15336923915380263
FhbNdYUF24IT8XWsv5k6,Face,0.1669182713105998,0.14272399657085763
GLjmo9zdGNoAXTp3f0pg,Face,0.12822407088644855,0.1504518063422026
GftR20aSPeNMKxMcne7m,Face,0.11444889506225794,0.10850967522678527
HBaFE9Cf2kpnw0vtOtre,Face,0.14942904923307368,0.11696950798909903
Hp4LK1DKcSlPUF4ocWtP,Face,0.17081967209211402,0.1339068297772223
Hq1QKGFQQb2Knq4EmbSI,Face,0.16322838247083554,0.1407719511543592
HsVuSPSuTnKn0xmtKZbC,Face,0.06402862145093614,0.09229851650554259
I3gW1TdgKLkzRKNoWVAO,Face,0.14801464292951028,0.15589101823791038
IdfWICn2XIbo0XTgh8rV,Face,0.1371852079085223,0.1641872577966849
IpbBaMukojb78CGKVV7A,Face,0.07571992435577611,0.03611179123320176
JwFsFSvKcJtmk0DshUGM,Face,0.20542289478816259,0.14813321901636287
KC1dYPZL2NBHjKFaNict,Face,0.09137528576215576,0.09688933983353959
KPz0aIm2veKBZ71kRgBj,Face,0.11758811482704498,0.0986656775642518
Lr0TWp9udTX52LmeFWnm,Face,0.09321007378334142,0.09795257739150158
LvC3TOvrE3JMixlSFAjO,Face,0.06130790091840792,0.08338311677895081
Mu7X3Go9p2q4C4JWswQp,Face,0.13781817485449738,0.14294464335962145
NrMKOk1GIa8wy7g40ziM,Face,0.1354186363415525,0.12458079654929466
