,condition,distance_between_original_user_in_percentage
0CglbX3jNpKrXUGLjUgD,Calibration,3.4710318834870533
2XzI8cZpeLL0DTlsECwZ,Calibration,3.117390072270132
2xJVctDUirbxcPsf5usP,Calibration,2.5507581118434026
3OfPMNQddajDWz7dQ7Gp,Calibration,2.03177147834019
4AssgSYnYN1pI0r7atFU,Calibration,3.4712792632538285
4WVIK2yLjEMuTcnl9fmI,Calibration,0.21669104478116924
781RAnvf4DY3ga5BJi12,Calibration,4.112463846492073
7AszsmgPN3jQbNtRCC03,Calibration,4.174458839678548
7ospVoFAIsF07N05r85b,Calibration,3.7017926352367954
8nxRC2VQ2hTxEEQbIMKK,Calibration,1.1232300147351086
8sQhKhlVhI289bYD4Pmo,Calibration,3.6257975937036044
CQkNEQodwsHSU2xgM0xi,Calibration,4.607965553584949
DvCTyt3OkuBaWPjGUjBk,Calibration,7.32755121149167
ENBjUDhBuRLwDUVMXf1H,Calibration,4.02992779446731
FaeLpohwYP8bzk0rhGtY,Calibration,4.519647478796918
HLz9IUjHxQRpZouEQQDE,Calibration,2.8999940403587363
IjIMHL3SjytCLKbfggK5,Calibration,5.370535233546934
KC5KqM5g8Mzo3gEkrKpt,Calibration,2.4999999999999996
L7iSzjzE0WW5d1cJ7TLu,Calibration,4.543260511343948
Ny0jxeoUpunBj9iNjZbi,Calibration,5.345256221813514
O8NFwKei1rOjnABpenrm,Calibration,4.035841611295556
R82u95ptu3jsbzT99Ewm,Calibration,3.988552053891331
RSFLZ9lP0odVCzlpNgi1,Calibration,3.5742947105783123
RfBlMbgJ2r8N3XShEaCh,Calibration,1.3512573341683627
RrOvD2ntb68kSsESiasj,Calibration,4.359414305546319
TgI43VlT93oINqr3ClFz,Calibration,3.117390072270132
UbXCHt2JOnS9ka2p5AfK,Calibration,1.3513327756006575
YvRkRgIiAl5t26IF7865,Calibration,3.4063467694824685
ZoeUXcimrdtqFLC4S427,Calibration,5.08339470670043
c1tBtoMR0TSaIe8Qa8LE,Calibration,1.7031733847412367
ciHXOjSBCxkYVsbIMGFL,Calibration,0.2962648433497485
eYvs1x7u8NCBaK0OsGao,Calibration,0.6069802731411222
h6MXxkwwlLZRW8UH477Q,Calibration,4.414585180126057
hhLORoPspaoneHecGAlZ,Calibration,0.9612580954111063
iCnpRptXVzhdZ7eKc4di,Calibration,7.524876891304377
isxbcgroTW71QWePGPQ9,Calibration,3.210639653698049
kBlWMiYczQLZqWQdKPFY,Calibration,8.651749723081288
kGrFHRblg2WvOtlPqd0z,Calibration,2.8007244001488716
kKEo5fI7daKNKa0WisqQ,Calibration,3.3785854180969266
kVj6o8vXR1Am39k9X3ni,Calibration,1.120604620932682
ktXWWvRtYewlru5iIuoF,Calibration,8.494804877164503
lJPH2a7kI7utPtZWMCFL,Calibration,3.4144295023316342
lRwXfpYCu1Em9dZSYaVc,Calibration,0.48479239771205046
mHjr647WhoaWBu0BZCRd,Calibration,4.255000875448783
numYcnqSMUl2Vzo8sE5c,Calibration,4.230097192654213
o0RQpziyYV7okyovAAIK,Calibration,4.76626714591352
